Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Oct-10,Mandurah District,1,1,0,0,0,14,13,1,7,6,1,104,22,82,94,37,53,4,22,21,1,28,20,8,2,0,2,17,0,17,289,267,194,73,68,520,0,0,0,0,4,516,293,26,267,25,11,14,0,1173,1462,83,6,44,29,4,0,12,3,9,13,108,72,23,1,0,22,56,43,8,5,151
Nov-10,Mandurah District,1,0,0,0,1,24,17,7,12,12,0,83,14,69,90,33,52,5,12,10,2,10,6,4,1,0,1,7,0,7,240,260,191,69,48,580,0,0,0,0,1,579,274,38,236,7,2,5,0,1169,1409,49,5,23,17,4,0,17,14,3,13,79,88,22,0,0,22,45,37,5,3,155
Dec-10,Mandurah District,0,0,0,0,0,5,5,0,3,3,0,120,18,102,117,40,74,3,14,12,2,24,15,9,3,1,2,16,3,13,302,267,221,46,50,485,0,0,0,0,2,483,276,45,231,11,4,7,0,1089,1391,71,2,38,21,10,0,11,7,4,11,93,79,35,0,0,35,55,42,10,3,169
Jan-11,Mandurah District,1,1,0,0,0,30,27,3,2,2,0,116,22,94,114,39,66,9,7,6,1,17,8,9,1,0,1,15,2,13,303,361,251,110,61,571,0,0,0,0,5,566,311,49,262,9,2,7,0,1313,1616,55,2,29,18,6,0,18,10,8,16,89,164,62,1,0,61,78,59,13,6,304
Feb-11,Mandurah District,2,0,0,0,2,16,10,6,9,9,0,114,28,86,109,23,80,6,13,13,0,21,9,12,2,0,2,15,0,15,301,250,168,82,53,536,0,0,0,0,7,529,242,31,211,3,1,2,0,1084,1385,71,9,38,15,9,0,10,8,2,8,89,112,20,3,0,17,49,18,22,9,181
Mar-11,Mandurah District,0,0,0,0,0,37,36,1,9,6,3,79,11,68,104,30,71,3,5,4,1,22,18,4,4,0,4,17,2,15,277,249,191,58,67,624,0,0,0,0,3,621,279,29,250,10,2,8,0,1229,1506,227,110,56,39,20,2,10,6,4,30,267,61,64,5,0,59,46,28,11,7,171
Apr-11,Mandurah District,1,1,0,0,0,34,33,1,24,24,0,71,14,57,87,35,52,0,10,9,1,21,14,7,0,0,0,27,8,19,275,298,236,62,67,544,0,0,0,0,7,537,268,40,228,2,0,2,0,1179,1454,106,7,59,35,5,0,8,5,3,11,125,69,38,1,0,37,55,36,6,13,162
May-11,Mandurah District,3,0,3,0,0,19,16,3,12,12,0,85,7,78,96,33,58,5,9,8,1,17,7,10,0,0,0,14,4,10,255,257,205,52,50,608,0,0,0,0,2,606,268,25,243,5,0,5,0,1188,1443,95,9,47,31,8,0,13,12,1,13,121,81,33,1,0,32,67,40,23,4,181
Jun-11,Mandurah District,0,0,0,0,0,11,8,3,30,29,1,75,9,66,76,22,50,4,15,11,4,8,4,4,2,0,2,11,1,10,228,303,237,66,56,553,0,0,0,0,2,551,226,23,203,4,0,4,0,1142,1370,68,6,44,14,4,0,11,6,5,14,93,72,27,0,0,27,32,21,4,7,131
Jul-11,Mandurah District,0,0,0,0,0,9,5,4,12,6,6,87,14,73,67,24,43,0,10,9,1,10,9,1,2,0,2,10,4,6,207,260,185,75,78,524,0,0,0,0,2,522,333,21,312,4,0,4,0,1199,1406,133,21,55,29,28,0,14,10,4,16,163,52,27,0,0,27,36,22,4,10,115
