Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Oct-10,Great Southern District,1,0,1,0,0,4,2,2,1,1,0,9,1,8,26,6,19,1,1,1,0,5,4,1,1,0,1,2,1,1,50,58,38,20,8,128,0,0,0,0,0,128,90,10,80,4,2,2,0,288,338,72,0,27,35,10,0,2,1,1,4,78,8,6,1,0,5,4,1,1,2,18
Nov-10,Great Southern District,0,0,0,0,0,5,3,2,4,4,0,17,3,14,35,9,21,5,1,0,1,9,4,5,0,0,0,1,0,1,72,74,54,20,8,130,0,0,0,0,1,129,78,12,66,3,1,2,0,293,365,96,7,40,38,10,1,5,3,2,7,108,10,10,1,0,9,5,1,1,3,25
Dec-10,Great Southern District,0,0,0,0,0,5,4,1,1,1,0,26,7,19,47,15,26,6,4,3,1,5,2,3,2,1,1,1,0,1,91,72,48,24,15,132,0,0,0,0,0,132,110,16,94,9,4,5,0,338,429,79,6,35,26,12,0,5,3,2,7,91,13,13,0,0,13,8,1,4,3,34
Jan-11,Great Southern District,0,0,0,0,0,10,7,3,0,0,0,26,7,19,31,6,22,3,6,4,2,9,6,3,1,0,1,0,0,0,83,97,57,40,10,161,0,0,0,0,1,160,112,25,87,7,3,4,0,387,470,64,6,25,25,8,0,6,3,3,7,77,1,12,0,0,12,13,1,6,6,26
Feb-11,Great Southern District,0,0,0,0,0,11,7,4,2,2,0,20,5,15,52,23,27,2,1,1,0,4,1,3,0,0,0,0,0,0,90,77,44,33,9,95,0,0,0,0,2,93,81,15,66,4,1,3,0,266,356,94,3,33,35,21,2,2,2,0,16,112,7,72,0,0,72,20,5,12,3,99
Mar-11,Great Southern District,0,0,0,0,0,8,4,4,1,1,0,26,10,16,47,13,28,6,2,2,0,4,2,2,0,0,0,0,0,0,88,52,36,16,11,149,0,0,0,0,2,147,100,15,85,6,0,5,1,318,406,95,8,32,39,16,0,7,3,4,10,112,5,5,0,0,5,17,9,4,4,27
Apr-11,Great Southern District,0,0,0,0,0,5,0,5,1,0,1,18,3,15,40,12,23,5,4,4,0,9,8,1,1,0,1,0,0,0,78,51,19,32,9,102,0,0,0,0,1,101,80,8,72,4,1,3,0,246,324,177,28,71,61,16,1,2,2,0,8,187,21,1,0,0,1,22,16,5,1,44
May-11,Great Southern District,0,0,0,0,0,3,2,1,1,1,0,15,3,12,32,9,23,0,2,2,0,8,6,2,0,0,0,0,0,0,61,61,42,19,10,133,0,0,0,0,1,132,113,10,103,4,0,4,0,321,382,84,4,35,29,14,2,2,2,0,8,94,7,1,0,0,1,9,6,3,0,17
Jun-11,Great Southern District,0,0,0,0,0,16,0,16,14,14,0,26,3,23,41,14,23,4,11,6,5,9,5,4,1,1,0,0,0,0,118,54,34,20,10,139,0,0,0,0,0,139,93,11,82,7,1,6,0,303,421,102,7,46,41,7,1,5,3,2,17,124,5,6,0,0,6,8,4,1,3,19
Jul-11,Great Southern District,0,0,0,0,0,3,0,3,18,9,9,21,1,20,22,6,14,2,6,4,2,4,1,3,0,0,0,1,0,1,75,42,24,18,1,107,0,0,0,0,1,106,99,9,90,6,0,6,0,255,330,69,5,26,28,10,0,5,5,0,14,88,2,1,0,0,1,16,8,4,4,19
