Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
May-11,Cannington District,2,1,1,0,0,13,9,4,2,1,1,44,9,35,69,18,44,7,11,10,1,25,13,12,4,0,4,31,1,30,201,509,442,67,96,802,0,0,0,0,4,798,276,26,250,3,0,3,0,1686,1887,83,8,49,20,6,0,24,19,5,15,122,42,85,0,0,85,65,43,12,10,192
Jun-11,Cannington District,0,0,0,0,0,5,5,0,11,11,0,63,13,50,62,22,36,4,6,6,0,22,12,10,2,0,2,31,2,29,202,352,298,54,63,703,0,0,0,0,2,701,277,22,255,4,0,4,0,1399,1601,79,16,49,12,1,1,17,15,2,25,121,25,40,1,0,39,79,59,7,13,144
Jul-11,Cannington District,0,0,0,0,0,15,11,4,9,1,8,54,10,44,53,18,34,1,2,2,0,20,10,10,4,2,2,33,5,28,190,343,295,48,71,727,0,0,0,0,9,718,252,25,227,7,0,7,0,1400,1590,173,100,43,23,6,1,11,9,2,13,197,35,31,0,0,31,39,31,5,3,105
Aug-11,Cannington District,0,0,0,0,0,19,14,5,20,15,5,76,7,69,77,26,46,5,7,6,1,21,13,8,1,0,1,25,4,21,246,361,301,60,65,793,0,0,0,0,3,790,276,29,247,5,0,5,0,1500,1746,81,5,48,26,2,0,20,13,7,13,114,30,98,1,0,97,45,26,7,12,173
Sep-11,Cannington District,0,0,0,0,0,14,13,1,8,8,0,84,16,68,65,19,40,6,7,6,1,13,10,3,3,0,3,22,1,21,216,359,282,77,62,775,0,0,0,0,2,773,275,37,238,7,0,7,0,1478,1694,80,13,42,20,4,1,14,11,3,23,117,37,80,0,0,80,39,25,6,8,156
Oct-11,Cannington District,0,0,0,0,0,5,3,2,9,9,0,61,8,53,87,24,59,4,6,6,0,19,9,10,2,0,2,16,2,14,205,401,326,75,100,871,0,0,0,0,0,871,327,27,300,6,0,6,0,1705,1910,83,7,46,18,2,10,11,8,3,17,111,34,90,18,0,72,72,53,7,12,196
Nov-11,Cannington District,0,0,0,0,0,10,6,4,15,13,2,66,9,57,95,20,73,2,11,11,0,22,13,9,6,1,5,28,7,21,253,317,252,65,83,748,0,0,0,0,3,745,285,33,252,6,0,6,0,1439,1692,88,7,55,20,5,1,35,28,7,18,141,31,78,0,0,78,42,32,3,7,151
Dec-11,Cannington District,3,1,2,0,0,6,4,2,6,6,0,88,20,68,69,16,51,2,7,4,3,19,13,6,1,0,1,17,1,16,216,365,283,82,58,688,0,0,0,0,5,683,276,28,248,5,0,5,0,1392,1608,73,2,48,20,3,0,23,20,3,10,106,23,37,0,0,37,36,25,4,7,96
Jan-12,Cannington District,2,0,0,0,2,16,14,2,0,0,0,88,18,70,90,19,61,10,14,9,5,20,10,10,5,0,5,23,5,18,258,426,349,77,86,680,0,0,0,0,2,678,331,21,310,3,0,3,0,1526,1784,96,13,63,17,3,0,15,11,4,7,118,21,22,0,0,22,128,119,2,7,171
Feb-12,Cannington District,2,1,0,0,1,11,10,1,1,1,0,65,7,58,80,28,49,3,14,13,1,14,10,4,2,0,2,23,2,21,212,453,387,66,98,694,0,0,0,0,1,693,226,16,210,8,0,8,0,1479,1691,85,5,54,23,2,1,24,15,9,11,120,66,59,0,0,59,55,32,8,15,180
Mar-12,Cannington District,0,0,0,0,0,13,8,5,94,88,6,83,16,67,80,32,46,2,14,12,2,28,16,12,12,0,12,19,0,19,343,430,341,89,109,786,0,0,0,0,1,785,345,30,315,2,0,2,0,1672,2015,95,9,61,18,6,1,24,15,9,17,136,29,203,5,0,198,24,14,6,4,256
