Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
May-11,Mirrabooka District,1,0,1,0,0,14,13,1,42,42,0,54,14,40,104,26,74,4,4,3,1,27,11,16,0,0,0,25,2,23,271,412,355,57,90,779,0,0,0,0,3,776,251,32,219,4,0,4,0,1536,1807,115,13,71,29,2,0,22,17,5,14,151,34,106,2,0,104,92,43,44,5,232
Jun-11,Mirrabooka District,0,0,0,0,0,10,6,4,3,3,0,42,15,27,63,25,35,3,4,4,0,19,10,9,2,0,2,17,2,15,160,383,322,61,81,845,0,0,0,0,4,841,314,31,283,11,0,11,0,1634,1794,114,16,61,27,10,0,32,24,8,18,164,29,229,3,0,226,50,33,7,10,308
Jul-11,Mirrabooka District,0,0,0,0,0,7,5,2,25,10,15,39,10,29,74,17,57,0,1,0,1,25,11,14,0,0,0,37,8,29,208,342,268,74,88,694,0,0,0,0,3,691,301,29,272,4,0,4,0,1429,1637,76,4,50,22,0,0,16,10,6,15,107,44,30,0,0,30,58,45,5,8,132
Aug-11,Mirrabooka District,3,2,1,0,0,17,12,5,12,5,7,55,15,40,74,29,40,5,3,2,1,18,13,5,1,0,1,24,2,22,207,411,336,75,71,747,0,0,0,0,6,741,320,39,281,4,0,4,0,1553,1760,154,19,74,52,9,0,45,38,7,35,234,45,84,1,0,83,45,30,8,7,174
Sep-11,Mirrabooka District,4,1,1,1,1,16,11,5,7,7,0,55,18,37,84,30,49,5,3,2,1,20,9,11,3,2,1,19,4,15,211,447,389,58,84,801,0,0,0,0,4,797,335,47,288,5,0,5,0,1672,1883,142,20,77,41,3,1,32,24,8,32,206,23,85,3,0,82,53,42,9,2,161
Oct-11,Mirrabooka District,0,0,0,0,0,15,10,5,24,22,2,45,13,32,94,38,53,3,8,6,2,9,3,6,5,0,5,23,4,19,223,479,396,83,99,917,0,0,0,0,4,913,381,53,328,11,0,11,0,1887,2110,118,8,73,31,5,1,25,19,6,10,153,40,143,2,0,141,70,42,20,8,253
Nov-11,Mirrabooka District,0,0,0,0,0,12,9,3,10,9,1,38,9,29,76,25,48,3,8,6,2,29,18,11,3,0,3,17,3,14,193,364,310,54,71,810,0,0,0,0,5,805,319,31,288,12,0,12,0,1576,1769,82,8,47,24,2,1,23,17,6,23,128,22,94,5,0,89,73,48,16,9,189
Dec-11,Mirrabooka District,0,0,0,0,0,12,3,9,4,4,0,53,21,32,94,42,48,4,6,5,1,20,11,9,0,0,0,16,0,16,205,415,338,77,78,838,0,0,0,0,2,836,292,36,256,6,1,5,0,1629,1834,109,15,64,23,6,1,31,22,9,10,150,35,112,0,0,112,145,118,12,15,292
Jan-12,Mirrabooka District,0,0,0,0,0,13,8,5,7,6,1,67,18,49,89,35,46,8,12,9,3,17,6,11,1,0,1,14,0,14,220,397,341,56,92,844,0,0,0,0,2,842,294,36,258,5,0,4,1,1632,1852,109,10,63,29,7,0,27,16,11,28,164,21,101,2,0,99,54,25,12,17,176
Feb-12,Mirrabooka District,1,0,0,0,1,11,5,6,6,5,1,54,20,34,67,25,41,1,14,12,2,26,14,12,3,0,3,18,2,16,200,340,288,52,101,904,0,0,0,0,4,900,338,37,301,7,0,7,0,1690,1890,266,40,120,92,12,2,50,38,12,42,358,28,58,1,0,57,53,30,15,8,139
